freq,reporter,partner,product,flow,indicators\TIME_PERIOD	2020 	2021 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 
M,IE,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	4490437110 	4628761711 	5693873394 	4888633585 	5440634669 	5587396044 	4505849443 	4814699254 	5841846225 	5112844123 	5771216845 	4672274410 	: 	6262317814 	6292114661 	7011324278 	6412487946 	6255941028 	6355213633 	6272621787 	8566969952 	7738806273 	6571840328 	6635380094 	5978757568 	6836838889 	7345599666 	7231876075 	6427017722 	6934757435 	6698311790 
M,IE,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	6382457659 	6387632790 	9061224270 	8050311227 	8422319593 	9553563029 	7833002481 	7349252759 	8371702971 	9016947130 	10414930717 	11082264542 	: 	9482676744 	8981165722 	11932758323 	11129022765 	13075994608 	12753125347 	10677739699 	12399325569 	13033648800 	12373984358 	11974888017 	11243794690 	11316528789 	10016272130 	12139421322 	11413950565 	11552538432 	12037585724 
M,IE,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	12941192997 	11989630600 	14271505314 	11822820367 	13054619772 	14440639218 	12800451102 	12851304280 	14395422392 	14686364637 	15210732495 	12740177150 	: 	15710182538 	15377055240 	19743593349 	16681361377 	17484893130 	17174665487 	14460716617 	19050724165 	19214807723 	17227987623 	16451912102 	14453598522 	15159879115 	16224537629 	18505475974 	14909953017 	16420978593 	19188416722 
M,IT,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	13692544089 	13656163907 	16578919420 	16436960099 	16285472486 	16675725422 	18173653958 	15645170587 	19589194962 	19973613917 	20404040618 	21109381591 	: 	23529192779 	22611540232 	26731667401 	26343331442 	26463955256 	28648928574 	30703209243 	27767905226 	31155461336 	27842893429 	26054297355 	23587249541 	23367192768 	21138156451 	23533543837 	21226509090 	22818043291 	21158169028 
M,IT,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	15286607453 	17665902340 	21199947605 	21111687912 	20753704054 	21161502943 	24371436239 	16363597829 	20230846764 	21935373719 	22755451222 	23333225827 	: 	18244962399 	21449390181 	25938769783 	23632406726 	26206051119 	25639556254 	27876158284 	20005911502 	25724974917 	25615976835 	27870340975 	27587092996 	21980825160 	25135446662 	27694882446 	22465247719 	27261405294 	26424890915 
M,IT,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	18703329900 	20478260518 	24742408455 	21820974959 	22314825922 	23647628331 	23265592586 	16917414704 	24113844516 	24178357299 	25992683932 	26041226108 	: 	24185245897 	26208408455 	30717083796 	27533182901 	30168181540 	28552524962 	27736878295 	22649270773 	30404602554 	28793795571 	30023420686 	27016371488 	28457803748 	29226348227 	32617089036 	25967339404 	29543189487 	30643716774 
M,IT,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	18633025723 	21227476824 	24984322257 	22870794046 	23200343122 	24385855791 	25237480720 	16533811593 	24912062502 	24433073442 	25840832435 	22342736389 	: 	22949275908 	25895654704 	30752887446 	26605193797 	30363933773 	29049743370 	30103533871 	20903745902 	29323256597 	28963875341 	29630807758 	24376634857 	25608146547 	27324130014 	31783081149 	25090687884 	29867026882 	28838291353 
M,IT,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	32395873989 	34134424425 	41321327875 	38257935058 	38600298408 	40323353753 	41439246544 	32562585291 	43703039478 	44151971216 	46396724550 	47150607699 	: 	47714438676 	48819948687 	57448751197 	53876514343 	56632136796 	57201453536 	58440087538 	50417175999 	61560063890 	56636689000 	56077718041 	50603621029 	51824996516 	50364504678 	56150632873 	47193848494 	52361232778 	51801885802 
M,IT,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	33919633176 	38893379164 	46184269862 	43982481958 	43954047176 	45547358734 	49608916959 	32897409422 	45142909266 	46368447161 	48596283657 	45675962216 	: 	41194238307 	47345044885 	56691657229 	50237600523 	56569984892 	54689299624 	57979692155 	40909657404 	55048231514 	54579852176 	57501148733 	51963727853 	47588971707 	52459576676 	59477963595 	47555935603 	57128432176 	55263182268 
M,LT,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	626742733 	655481521 	889697080 	757678205 	1008557205 	944348306 	1049276865 	1073710377 	1132809643 	1206219748 	1268768199 	1249701570 	: 	1264671825 	1241109540 	1714182245 	1789047079 	1291981587 	1237609403 	1672970280 	1967718875 	2022946444 	2048921686 	1423189893 	1624198775 	1296814756 	1012058309 	1172353372 	1129074076 	1121839611 	1079505883 
